ID;AgnosDirec;AgnosEmpleo;DeudaExt;DeudaInt;Edad;Ingreso;Ingreso2;Nacionalidad;NivelEdu;VarObj
100001;4;2;9561,98;7660,04;40;64117,45;44473,09792;N;SupInc;S
100002;28;25;11985,89;6872,03;49;124062,09;84958,10181;N;Med;N
100003;2;3;1028,36;1075,60;38;32010,88;27638,81828;N;SupCom;N
100004;11;14;10974,30;2377,43;43;172337,44;125056,5724;N;Bas;N
100005;3;1;842,81;1142,83;33;25937,76;23755,32133;N;SupInc;S
100006;3;1;172,54;49,68;28;8104,55;7540,888313;N;Posg;N
100007;5;8;9940,27;3791,84;41;80521,21;61259,32488;N;SupCom;S
100008;0;;714,20;227,89;20;22465,48;18088,98724;N;SupCom;S
100009;15;15;1954,01;1695,12;33;101423,79;79506,50082;N;Posg;N
100010;11;14;5049,16;2964,78;48;149982,20;104300,4524;N;SupInc;N
100011;3;1;461,82;100,57;53;10962,69;10033,80894;N;Bas;N
100012;2;3;1814,47;345,93;30;78210,84;69062,46612;N;SupCom;N
100013;1;0;432,03;78,87;19;23421,35;16780,83518;N;Bas;N
100014;2;2;1598,42;737,46;23;25403,38;17282,48853;N;SupInc;S
100015;3;3;2537,03;4170,06;35;39273,36;34212,79733;N;SupCom;S
100016;13;12;5130,14;1774,70;38;118618,03;100415,069;N;Med;N
100017;5;0;1332,20;482,85;28;20587,40;14225,82102;N;SupInc;S
100018;7;0;694,96;188,06;28;25947,84;20568,75734;N;Med;N
100019;6;6;2279,89;875,37;43;64187,44;49804,79759;N;Bas;N
100020;2;2;3090,80;1559,52;32;52304,30;43571,79608;N;SupInc;S
100021;5;8;12828,16;3387,24;40;157839,90;142174,9892;N;SupInc;S
100022;24;20;907,48;1705,25;56;101388,85;97522,63624;N;Bas;N
100023;15;12;1904,82;1227,30;53;49836,81;48567,6312;N;SupInc;N
100024;5;2;4354,20;2183,48;48;84836,26;77505,88277;N;SupCom;N
100025;10;1;1143,62;271,86;26;39169,01;38783,47965;N;Bas;N
100026;2;14;3001,15;2009,51;51;37479,97;25574,88582;N;Med;N
100027;2;1;745,64;487,23;27;31653,49;21307,81097;N;SupCom;N
100028;2;2;1293,03;740,19;27;70356,57;53700,78161;N;SupCom;N
100029;5;5;3708,14;1042,75;50;68829,98;61879,0538;N;Posg;N
100030;19;12;4076,87;4455,69;34;46641,19;43853,19925;N;Med;N
100031;10;1;4821,80;1141,11;19;44464,64;32516,43292;N;SupInc;N
100032;10;11;11443,92;3623,03;42;142976,02;108663,9068;N;SupCom;N
100033;6;1;3209,20;1291,71;35;27809,38;24077,28925;N;SupInc;N
100034;5;3;1455,03;208,21;37;22194,35;20900,86048;N;SupInc;N
100035;1;0;532,41;222,44;23;15929,81;14742,73377;N;SupCom;S
100036;25;30;9064,27;9039,97;48;243669,37;184832,7386;N;SupCom;N
100037;7;15;2929,58;1319,89;33;55662,54;37282,16782;N;SupInc;N
100038;13;24;3838,03;1405,84;43;31353,86;26409,90446;N;Posg;N
100039;7;6;1110,50;1452,60;55;32075,36;23102,42848;N;SupInc;N
100040;2;1;1633,00;2741,09;19;51412,52;46531,42349;N;SupCom;S
100041;12;18;1192,96;508,15;52;15030,38;10942,69946;N;SupCom;N
100042;1;1;879,66;487,57;32;15739,85;15409,96225;N;Med;S
100043;1;2;1807,68;532,21;21;45322,34;41812,18803;N;SupCom;N
100044;6;5;4029,35;1235,56;23;98146,70;92216,17916;N;Med;N
100045;6;10;2513,49;569,08;47;58647,81;48234,88369;N;SupInc;N
100046;13;10;6120,60;2530,87;28;80547,35;77543,49491;N;SupCom;N
100047;1;0;706,13;65,52;52;16556,05;11426,19125;N;Med;N
100048;9;15;30561,14;8663,06;45;138789,62;108740,1247;N;SupInc;S
100049;13;16;2208,71;805,74;34;71164,99;60030,46682;N;SupCom;N
100050;6;12;3775,99;2226,00;44;108230,14;91980,00236;N;Med;N
100051;8;20;2557,25;674,47;38;88837,95;87761,90421;N;Med;N
100052;2;3;3137,50;1452,20;25;62344,77;46732,67212;N;Med;S
100053;10;9;2169,71;4182,29;45;77495,13;58937,26699;N;Med;S
100054;10;10;6936,16;4519,79;28;49040,52;42468,95695;N;Bas;N
100055;24;17;641,60;736,49;47;28741,39;27404,71553;N;SupCom;N
100056;10;13;3742,72;1392,81;31;87478,57;86881,12893;N;SupInc;N
100057;19;20;10994,49;19252,07;38;89520,32;72515,94832;N;Med;N
100058;6;6;12154,13;1561,75;52;99924,00;75521,16746;N;Posg;N
100059;0;1;185,37;93,00;28;31423,97;24903,67647;N;SupCom;N
